Year,Model,Engine,Body,VIN,Set Date,City,Link
2001,Z3,3.0L L6 DOHC 24V,Convertible/Cabriolet,WBACN53431LL48141,7/11/2023,Stockton,https://www.picknpull.com/check-inventory/vehicle-details/WBACN53431LL48141
2006,330Cic,3.0L L6 DOHC 24V,Coupe,WBABD53496PL17586,6/20/2023,Stockton,https://www.picknpull.com/check-inventory/vehicle-details/WBABD53496PL17586
2006,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB33566KR80515,7/17/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB33566KR80515
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB17546NK39941,7/12/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB17546NK39941
2006,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB33586KR73811,5/31/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB33586KR73811
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13596K000067,5/22/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13596K000067
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13566KR62519,5/12/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13566KR62519
2002,330xi,3.0L L6 DOHC 24V,Sedan/Saloon,WBAEW53462PG16313,5/31/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAEW53462PG16313
2001,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAAV53431FJ68549,6/14/2023,Antelope,https://www.picknpull.com/check-inventory/vehicle-details/WBAAV53431FJ68549
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13556PS66687,7/17/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13556PS66687
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13546KX47155,6/19/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13546KX47155
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13556KR62169,6/19/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13556KR62169
2006,330Cic,3.0L L6 DOHC 24V,Convertible/Cabriolet,WBABW53416PZ40016,2/10/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBABW53416PZ40016
2003,330Ci,3.0L L6 DOHC 24V,Coupe,WBABN53423JU29626,6/23/2023,Richmond,https://www.picknpull.com/check-inventory/vehicle-details/WBABN53423JU29626
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13556PT08078,7/11/2023,San Jose,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13556PT08078
2006,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB335X6AZ85819,7/3/2023,San Jose,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB335X6AZ85819
2005,330Cic,3.0L L6 DOHC 24V,Convertible/Cabriolet,WBABW53405PJ96956,7/10/2023,American Canyon,https://www.picknpull.com/check-inventory/vehicle-details/WBABW53405PJ96956
2002,330Ci,3.0L L6 DOHC 24V,Coupe,WBABN53412PH00335,6/22/2023,American Canyon,https://www.picknpull.com/check-inventory/vehicle-details/WBABN53412PH00335
2006,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB33536KS36953,7/14/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB33536KS36953
2006,325i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAVB13596PT03465,6/2/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBAVB13596PT03465
2005,330Cic,3.0L L6 DOHC 24V,Convertible/Cabriolet,WBABW53425PL51037,4/11/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBABW53425PL51037
2004,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAEV53434KM06025,6/23/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBAEV53434KM06025
2003,330i,3.0L L6 DOHC 24V,Sedan/Saloon,WBAEW534X3PG22780,5/31/2023,Fairfield,https://www.picknpull.com/check-inventory/vehicle-details/WBAEW534X3PG22780
